,iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,majority_tyranny_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal,optimal_correct_minus_majority_correct
172,1000,7,0.55,,0.03,,0.011000000000000001,0.9890000000000001,0.988,0.161,0.001,0.0,0.262,0.612,0.585,0.596,0.586,0.614,0.8690000000000001,0.983,0.8859999999999999,0.875,0.9940000000000001,0.027000000000000024
173,1000,7,0.55,,0.04,,0.002,0.998,0.988,0.19699999999999998,0.01,0.002,0.265,0.659,0.65,0.625,0.6559999999999999,0.655,0.863,0.978,0.885,0.867,0.996,0.009000000000000008
174,1000,7,0.55,,0.06,,0.004,0.996,0.9840000000000001,0.263,0.012,0.004,0.294,0.6759999999999999,0.652,0.648,0.66,0.675,0.866,0.986,0.88,0.877,0.9890000000000001,0.02399999999999991
175,1000,7,0.55,,0.07,,0.002,0.998,0.9740000000000001,0.295,0.024,0.006999999999999999,0.28300000000000003,0.667,0.631,0.63,0.636,0.67,0.828,0.9790000000000001,0.8490000000000001,0.8390000000000001,0.9890000000000001,0.03600000000000003
176,1000,7,0.55,,0.08,,0.001,0.9990000000000001,0.971,0.282,0.027999999999999997,0.012,0.302,0.7090000000000001,0.638,0.693,0.655,0.706,0.821,0.975,0.846,0.8320000000000001,0.9890000000000001,0.07100000000000006
177,1000,7,0.55,,0.1,,0.001,0.9990000000000001,0.9690000000000001,0.294,0.03,0.013999999999999999,0.332,0.742,0.6940000000000001,0.695,0.703,0.7390000000000001,0.826,0.9790000000000001,0.847,0.845,0.981,0.04799999999999993
178,1000,7,0.55,,0.11,,0.003,0.997,0.97,0.307,0.027000000000000003,0.013000000000000001,0.34,0.785,0.715,0.747,0.727,0.79,0.828,0.986,0.8420000000000001,0.847,0.981,0.07000000000000006
179,1000,7,0.55,,0.12,,0.001,0.9990000000000001,0.956,0.336,0.043,0.027000000000000003,0.35600000000000004,0.7829999999999999,0.725,0.75,0.736,0.778,0.85,0.983,0.867,0.865,0.985,0.05799999999999994
180,1000,7,0.6,,0.02,,0.511,0.489,0.489,0.0,0.0,0.0,0.29600000000000004,0.706,0.706,0.633,0.708,0.706,0.988,0.996,0.992,0.988,1.0,0.0
181,1000,7,0.6,,0.03,,0.142,0.858,0.858,0.011000000000000001,0.0,0.0,0.294,0.703,0.701,0.6459999999999999,0.703,0.703,0.9520000000000001,0.992,0.96,0.9520000000000001,1.0,0.0020000000000000018
182,1000,7,0.6,,0.04,,0.040999999999999995,0.9590000000000001,0.9590000000000001,0.051,0.0,0.0,0.301,0.733,0.728,0.645,0.728,0.7340000000000001,0.937,0.986,0.951,0.938,0.9990000000000001,0.0050000000000000044
