iterations,voters,mean,mean_bucket,std,std_bucket,optimal_is_strong_democracy,optimal_is_weak_democracy,optimal_is_weak_epistocracy,optimal_is_strong_epistocracy,optimal_is_expert_rule,minority_colluding,optimal_agrees_majority
1000.0,5.0,0.95,,0.13,,0.16399999999999998,0.66,0.156,0.02,0.02,0.887,0.987
1000.0,5.0,0.95,,0.14,,0.174,0.638,0.174,0.013999999999999999,0.013999999999999999,0.8959999999999999,0.988
1000.0,7.0,0.55,,0.02,,0.055,0.893,0.051,0.001,0.0,0.25,0.927
1000.0,7.0,0.55,,0.03,,0.009000000000000001,0.835,0.154,0.002,0.0,0.264,0.877
1000.0,7.0,0.55,,0.04,,0.005,0.7809999999999999,0.205,0.009000000000000001,0.0,0.285,0.873
1000.0,7.0,0.55,,0.07,,0.002,0.7070000000000001,0.263,0.027999999999999997,0.012,0.275,0.853
1000.0,7.0,0.55,,0.08,,0.0,0.698,0.27899999999999997,0.023,0.013999999999999999,0.287,0.8270000000000001
1000.0,7.0,0.55,,0.09,,0.0,0.675,0.305,0.02,0.012,0.325,0.836
1000.0,7.0,0.55,,0.12,,0.001,0.6779999999999999,0.29100000000000004,0.03,0.018000000000000002,0.348,0.855
1000.0,7.0,0.55,,0.13,,0.0,0.649,0.297,0.054000000000000006,0.037000000000000005,0.381,0.861
1000.0,7.0,0.55,,0.14,,0.0,0.648,0.28800000000000003,0.064,0.044000000000000004,0.385,0.848
1000.0,7.0,0.6,,0.02,,0.509,0.491,0.0,0.0,0.0,0.28800000000000003,0.99
1000.0,7.0,0.6,,0.03,,0.14400000000000002,0.843,0.013000000000000001,0.0,0.0,0.293,0.948
1000.0,7.0,0.6,,0.04,,0.045,0.902,0.053,0.0,0.0,0.318,0.9229999999999999
1000.0,7.0,0.6,,0.07,,0.006,0.812,0.179,0.003,0.0,0.325,0.8809999999999999
1000.0,7.0,0.6,,0.08,,0.002,0.79,0.195,0.013000000000000001,0.005,0.365,0.878
1000.0,7.0,0.6,,0.09,,0.004,0.758,0.223,0.015,0.009000000000000001,0.361,0.877
1000.0,7.0,0.6,,0.12,,0.001,0.7040000000000001,0.265,0.03,0.019,0.40299999999999997,0.89
1000.0,7.0,0.6,,0.13,,0.0,0.6890000000000001,0.276,0.035,0.023,0.408,0.866
1000.0,7.0,0.6,,0.14,,0.001,0.6920000000000001,0.267,0.04,0.02,0.43799999999999994,0.868
1000.0,7.0,0.65,,0.02,,0.893,0.107,0.0,0.0,0.0,0.312,0.9990000000000001
1000.0,7.0,0.65,,0.03,,0.466,0.532,0.002,0.0,0.0,0.32,0.991
1000.0,7.0,0.65,,0.04,,0.18100000000000002,0.81,0.009000000000000001,0.0,0.0,0.33,0.9640000000000001
1000.0,7.0,0.65,,0.07,,0.02,0.894,0.086,0.0,0.0,0.392,0.924
1000.0,7.0,0.65,,0.08,,0.013000000000000001,0.868,0.11599999999999999,0.003,0.0,0.39,0.919
1000.0,7.0,0.65,,0.09,,0.011000000000000001,0.8290000000000001,0.156,0.004,0.001,0.434,0.9129999999999999
1000.0,7.0,0.65,,0.12,,0.004,0.762,0.20600000000000002,0.027999999999999997,0.019,0.44299999999999995,0.898
1000.0,7.0,0.65,,0.13,,0.001,0.738,0.237,0.024,0.015,0.461,0.907
1000.0,7.0,0.65,,0.14,,0.004,0.7120000000000001,0.254,0.03,0.024,0.488,0.895
1000.0,7.0,0.7,,0.02,,0.991,0.009000000000000001,0.0,0.0,0.0,0.385,0.9990000000000001
1000.0,7.0,0.7,,0.03,,0.7340000000000001,0.266,0.0,0.0,0.0,0.38299999999999995,0.997
1000.0,7.0,0.7,,0.04,,0.39,0.61,0.0,0.0,0.0,0.39,0.9840000000000001
1000.0,7.0,0.7,,0.07,,0.044000000000000004,0.9209999999999999,0.035,0.0,0.0,0.455,0.9590000000000001
1000.0,7.0,0.7,,0.08,,0.023,0.9009999999999999,0.076,0.0,0.0,0.462,0.9440000000000001
1000.0,7.0,0.7,,0.09,,0.02,0.875,0.10300000000000001,0.002,0.002,0.475,0.9359999999999999
1000.0,7.0,0.7,,0.12,,0.006,0.7929999999999999,0.187,0.013999999999999999,0.01,0.53,0.932
1000.0,7.0,0.7,,0.13,,0.004,0.7759999999999999,0.20800000000000002,0.012,0.009000000000000001,0.535,0.932
1000.0,7.0,0.7,,0.14,,0.001,0.7609999999999999,0.21899999999999997,0.019,0.013999999999999999,0.5589999999999999,0.9229999999999999
1000.0,7.0,0.75,,0.02,,0.998,0.002,0.0,0.0,0.0,0.48,1.0
1000.0,7.0,0.75,,0.03,,0.878,0.122,0.0,0.0,0.0,0.483,0.9990000000000001
1000.0,7.0,0.75,,0.04,,0.573,0.42700000000000005,0.0,0.0,0.0,0.479,0.99
1000.0,7.0,0.75,,0.07,,0.065,0.922,0.013000000000000001,0.0,0.0,0.527,0.975
1000.0,7.0,0.75,,0.08,,0.035,0.93,0.035,0.0,0.0,0.5379999999999999,0.978
1000.0,7.0,0.75,,0.09,,0.023,0.9259999999999999,0.047,0.004,0.004,0.565,0.958
1000.0,7.0,0.75,,0.12,,0.008,0.851,0.135,0.006,0.006,0.604,0.9670000000000001
1000.0,7.0,0.75,,0.13,,0.008,0.809,0.171,0.012,0.008,0.605,0.956
1000.0,7.0,0.75,,0.14,,0.002,0.797,0.19,0.011000000000000001,0.01,0.609,0.951
1000.0,7.0,0.8,,0.02,,0.998,0.002,0.0,0.0,0.0,0.527,1.0
1000.0,7.0,0.8,,0.03,,0.932,0.068,0.0,0.0,0.0,0.591,1.0
1000.0,7.0,0.8,,0.04,,0.647,0.353,0.0,0.0,0.0,0.5710000000000001,0.995
1000.0,7.0,0.8,,0.07,,0.106,0.884,0.009000000000000001,0.001,0.001,0.642,0.985
1000.0,7.0,0.8,,0.08,,0.055999999999999994,0.9229999999999999,0.02,0.001,0.001,0.627,0.982
1000.0,7.0,0.8,,0.09,,0.034,0.938,0.027999999999999997,0.0,0.0,0.6609999999999999,0.978
1000.0,7.0,0.8,,0.12,,0.018000000000000002,0.907,0.07,0.005,0.005,0.66,0.9690000000000001
1000.0,7.0,0.8,,0.13,,0.006999999999999999,0.883,0.107,0.003,0.003,0.695,0.9840000000000001
1000.0,7.0,0.8,,0.14,,0.002,0.865,0.125,0.008,0.006999999999999999,0.6709999999999999,0.965
1000.0,7.0,0.85,,0.02,,0.998,0.002,0.0,0.0,0.0,0.657,1.0
1000.0,7.0,0.85,,0.03,,0.9109999999999999,0.08900000000000001,0.0,0.0,0.0,0.67,1.0
1000.0,7.0,0.85,,0.04,,0.631,0.369,0.0,0.0,0.0,0.737,1.0
1000.0,7.0,0.85,,0.07,,0.114,0.882,0.004,0.0,0.0,0.708,0.995
1000.0,7.0,0.85,,0.08,,0.069,0.9209999999999999,0.009000000000000001,0.001,0.001,0.741,0.992
1000.0,7.0,0.85,,0.09,,0.046,0.93,0.023,0.001,0.001,0.745,0.9940000000000001
1000.0,7.0,0.85,,0.12,,0.013000000000000001,0.927,0.057,0.003,0.003,0.759,0.985
1000.0,7.0,0.85,,0.13,,0.012,0.914,0.069,0.005,0.005,0.745,0.98
1000.0,7.0,0.85,,0.14,,0.008,0.897,0.09,0.005,0.004,0.738,0.988
1000.0,7.0,0.9,,0.02,,0.9890000000000001,0.011000000000000001,0.0,0.0,0.0,0.77,1.0
1000.0,7.0,0.9,,0.03,,0.785,0.215,0.0,0.0,0.0,0.787,1.0
1000.0,7.0,0.9,,0.04,,0.45299999999999996,0.546,0.001,0.0,0.0,0.805,1.0
1000.0,7.0,0.9,,0.07,,0.114,0.877,0.009000000000000001,0.0,0.0,0.825,0.996
1000.0,7.0,0.9,,0.08,,0.054000000000000006,0.934,0.012,0.0,0.0,0.846,0.997
1000.0,7.0,0.9,,0.09,,0.048,0.9440000000000001,0.008,0.0,0.0,0.809,0.998
1000.0,7.0,0.9,,0.12,,0.019,0.9440000000000001,0.037000000000000005,0.0,0.0,0.785,0.9890000000000001
1000.0,7.0,0.9,,0.13,,0.01,0.9309999999999999,0.057,0.002,0.002,0.774,0.99
1000.0,7.0,0.9,,0.14,,0.012,0.927,0.06,0.001,0.001,0.81,0.9890000000000001
1000.0,7.0,0.95,,0.02,,0.792,0.20800000000000002,0.0,0.0,0.0,0.8859999999999999,1.0
1000.0,7.0,0.95,,0.03,,0.436,0.563,0.001,0.0,0.0,0.9109999999999999,0.9990000000000001
1000.0,7.0,0.95,,0.04,,0.265,0.733,0.002,0.0,0.0,0.912,0.9990000000000001
1000.0,7.0,0.95,,0.07,,0.11800000000000001,0.8740000000000001,0.008,0.0,0.0,0.882,1.0
1000.0,7.0,0.95,,0.08,,0.061,0.927,0.012,0.0,0.0,0.873,1.0
1000.0,7.0,0.95,,0.09,,0.048,0.941,0.011000000000000001,0.0,0.0,0.8759999999999999,0.9990000000000001
1000.0,7.0,0.95,,0.12,,0.031,0.951,0.018000000000000002,0.0,0.0,0.843,0.9990000000000001
1000.0,7.0,0.95,,0.13,,0.013999999999999999,0.9570000000000001,0.027999999999999997,0.001,0.001,0.8370000000000001,0.992
1000.0,7.0,0.95,,0.14,,0.018000000000000002,0.934,0.047,0.001,0.001,0.8290000000000001,0.992
1000.0,9.0,0.55,,0.02,,0.004,0.978,0.018000000000000002,0.0,0.0,0.149,0.895
1000.0,9.0,0.55,,0.03,,0.0,0.9440000000000001,0.055999999999999994,0.0,0.0,0.136,0.873
1000.0,9.0,0.55,,0.04,,0.0,0.9179999999999999,0.08199999999999999,0.0,0.0,0.13699999999999998,0.865
1000.0,9.0,0.55,,0.07,,0.0,0.858,0.14,0.002,0.0,0.17,0.8220000000000001
