voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
21,0.7,0.04,0.6999999999999882,0.0399999999999561,0.968,0.024,0.268,0.969,0.001
31,0.7,0.04,0.6999999999999882,0.0399999999999561,0.99,0.011,0.29,0.991,0.001
41,0.7,0.04,0.6999999999999882,0.0399999999999561,0.995,0.003,0.295,0.995,0.0
51,0.7,0.04,0.6999999999999882,0.0399999999999561,0.997,0.001,0.297,0.997,0.0
3,0.7,0.08,0.6999704381940288,0.0799447318221422,0.791,0.0,0.091,0.807,0.016
5,0.7,0.08,0.6999704381940288,0.0799447318221422,0.834,0.021,0.134,0.862,0.028
7,0.7,0.08,0.6999704381940288,0.0799447318221422,0.857,0.012,0.157,0.873,0.016
9,0.7,0.08,0.6999704381940288,0.0799447318221422,0.901,0.022,0.201,0.906,0.005
11,0.7,0.08,0.6999704381940288,0.0799447318221422,0.92,0.01,0.22,0.925,0.005
21,0.7,0.08,0.6999704381940288,0.0799447318221422,0.967,0.023,0.267,0.979,0.012
31,0.7,0.08,0.6999704381940288,0.0799447318221422,0.992,0.013,0.292,0.997,0.005
41,0.7,0.08,0.6999704381940288,0.0799447318221422,0.997,0.003,0.297,1.0,0.003
51,0.7,0.08,0.6999704381940288,0.0799447318221422,0.998,0.001,0.298,1.0,0.002
3,0.7,0.16,0.6885151203927853,0.1484230627507326,0.753,0.0,0.064,0.836,0.083
5,0.7,0.16,0.6885151203927853,0.1484230627507326,0.788,0.018,0.099,0.879,0.091
7,0.7,0.16,0.6885151203927853,0.1484230627507326,0.859,0.035,0.17,0.93,0.071
9,0.7,0.16,0.6885151203927853,0.1484230627507326,0.878,0.01,0.189,0.954,0.076
11,0.7,0.16,0.6885151203927853,0.1484230627507326,0.905,0.014,0.216,0.957,0.052
21,0.7,0.16,0.6885151203927853,0.1484230627507326,0.959,0.027,0.27,0.995,0.036
31,0.7,0.16,0.6885151203927853,0.1484230627507326,0.989,0.015,0.3,1.0,0.011
41,0.7,0.16,0.6885151203927853,0.1484230627507326,0.994,0.003,0.305,1.0,0.006
