voters,mean,std,ratio_difference_to_mean,ratio_correct
3,0.9,0.16,0.886,0.987
5,0.9,0.16,0.914,0.988
7,0.9,0.16,0.939,0.99
9,0.9,0.16,0.959,0.993
11,0.9,0.16,0.982,0.997
21,0.9,0.16,1.0,1.0
31,0.9,0.16,1.0,1.0
41,0.9,0.16,1.0,1.0
51,0.9,0.16,1.0,1.0
3,0.9,0.32,0.423,0.892
5,0.9,0.32,0.684,0.921
7,0.9,0.32,0.729,0.927
9,0.9,0.32,0.788,0.94
11,0.9,0.32,0.828,0.951
21,0.9,0.32,0.928,0.979
31,0.9,0.32,0.959,0.988
41,0.9,0.32,0.997,0.999
51,0.9,0.32,0.997,0.999
3,0.9,0.64,0.171,0.709
5,0.9,0.64,0.17,0.681
7,0.9,0.64,0.231,0.69
9,0.9,0.64,0.297,0.713
11,0.9,0.64,0.267,0.695
21,0.9,0.64,0.462,0.771
31,0.9,0.64,0.547,0.807
41,0.9,0.64,0.61,0.834
51,0.9,0.64,0.65,0.851
3,0.9,1.28,0.003,0.593
5,0.9,1.28,-0.016,0.537
7,0.9,1.28,0.093,0.583
9,0.9,1.28,0.108,0.584
11,0.9,1.28,0.085,0.566
21,0.9,1.28,0.088,0.562
31,0.9,1.28,0.061,0.55
41,0.9,1.28,0.181,0.607
51,0.9,1.28,0.19,0.611
3,0.9,2.56,-0.0,0.582
5,0.9,2.56,-0.026,0.533
7,0.9,2.56,-0.011,0.514
9,0.9,2.56,-0.019,0.504
11,0.9,2.56,-0.027,0.498
21,0.9,2.56,0.008,0.51
31,0.9,2.56,0.012,0.511
41,0.9,2.56,0.085,0.547
51,0.9,2.56,0.038,0.524
3,0.95,0.02,1.0,1.0
5,0.95,0.02,1.0,1.0
7,0.95,0.02,1.0,1.0
9,0.95,0.02,1.0,1.0
11,0.95,0.02,1.0,1.0
21,0.95,0.02,1.0,1.0
31,0.95,0.02,1.0,1.0
41,0.95,0.02,1.0,1.0
51,0.95,0.02,1.0,1.0
3,0.95,0.04,1.0,1.0
5,0.95,0.04,1.0,1.0
7,0.95,0.04,1.0,1.0
9,0.95,0.04,1.0,1.0
11,0.95,0.04,1.0,1.0
21,0.95,0.04,1.0,1.0
31,0.95,0.04,1.0,1.0
41,0.95,0.04,1.0,1.0
51,0.95,0.04,1.0,1.0
3,0.95,0.08,0.926,0.995
5,0.95,0.08,0.976,0.998
7,0.95,0.08,1.012,1.001
9,0.95,0.08,1.0,1.0
11,0.95,0.08,1.0,1.0
21,0.95,0.08,1.0,1.0
31,0.95,0.08,1.0,1.0
41,0.95,0.08,1.0,1.0
51,0.95,0.08,1.0,1.0
3,0.95,0.16,0.935,0.993
5,0.95,0.16,0.962,0.995
7,0.95,0.16,0.943,0.992
9,0.95,0.16,0.993,0.999
11,0.95,0.16,0.993,0.999
21,0.95,0.16,1.0,1.0
31,0.95,0.16,1.0,1.0
41,0.95,0.16,1.0,1.0
51,0.95,0.16,1.0,1.0
3,0.95,0.32,0.59,0.926
5,0.95,0.32,0.531,0.889
7,0.95,0.32,0.696,0.919
9,0.95,0.32,0.761,0.937
11,0.95,0.32,0.847,0.96
21,0.95,0.32,0.96,0.989
31,0.95,0.32,0.978,0.994
41,0.95,0.32,0.993,0.998
51,0.95,0.32,1.0,1.0
3,0.95,0.64,0.168,0.722
5,0.95,0.64,0.198,0.706
7,0.95,0.64,0.214,0.69
9,0.95,0.64,0.292,0.716
11,0.95,0.64,0.227,0.683
21,0.95,0.64,0.501,0.793
31,0.95,0.64,0.571,0.821
41,0.95,0.64,0.662,0.859
51,0.95,0.64,0.753,0.897
3,0.95,1.28,-0.0,0.586
5,0.95,1.28,0.101,0.606
7,0.95,1.28,0.028,0.559
9,0.95,1.28,0.073,0.569
11,0.95,1.28,0.116,0.583
21,0.95,1.28,0.145,0.593
31,0.95,1.28,0.123,0.581
41,0.95,1.28,0.203,0.619
51,0.95,1.28,0.186,0.611
3,0.95,2.56,0.088,0.611
5,0.95,2.56,-0.066,0.512
7,0.95,2.56,0.013,0.537
9,0.95,2.56,-0.03,0.504
11,0.95,2.56,0.019,0.521
21,0.95,2.56,0.051,0.531
31,0.95,2.56,-0.038,0.487
41,0.95,2.56,0.063,0.537
51,0.95,2.56,0.075,0.543
3,0.55,0.02,1.25,1.007
5,0.55,0.02,0.725,0.977
7,0.55,0.02,1.052,1.006
9,0.55,0.02,1.217,1.017
11,0.55,0.02,0.967,0.995
21,0.55,0.02,0.915,0.983
31,0.55,0.02,0.944,0.987
41,0.55,0.02,0.952,0.987
51,0.55,0.02,0.916,0.976
3,0.55,0.04,1.308,1.007
5,0.55,0.04,1.109,1.008
7,0.55,0.04,1.347,1.028
9,0.55,0.04,0.958,0.993
11,0.55,0.04,0.763,0.955
21,0.55,0.04,0.909,0.977
31,0.55,0.04,0.843,0.954
41,0.55,0.04,0.927,0.979
51,0.55,0.04,0.852,0.952
3,0.55,0.08,1.102,1.009
5,0.55,0.08,0.815,0.969
7,0.55,0.08,0.755,0.953
9,0.55,0.08,0.74,0.947
11,0.55,0.08,0.822,0.959
21,0.55,0.08,0.775,0.936
31,0.55,0.08,0.875,0.957
41,0.55,0.08,0.815,0.935
51,0.55,0.08,0.901,0.964
3,0.55,0.16,0.692,0.957
5,0.55,0.16,0.639,0.934
7,0.55,0.16,0.723,0.937
9,0.55,0.16,0.807,0.951
11,0.55,0.16,0.817,0.95
21,0.55,0.16,0.863,0.955
31,0.55,0.16,0.878,0.958
41,0.55,0.16,0.922,0.973
51,0.55,0.16,0.96,0.986
3,0.55,0.32,0.8,0.971
5,0.55,0.32,0.753,0.95
7,0.55,0.32,0.837,0.961
9,0.55,0.32,0.827,0.955
11,0.55,0.32,0.881,0.968
21,0.55,0.32,0.926,0.979
31,0.55,0.32,0.976,0.993
41,0.55,0.32,0.99,0.997
51,0.55,0.32,0.997,0.999
3,0.55,0.64,0.601,0.937
5,0.55,0.64,0.802,0.959
7,0.55,0.64,0.866,0.97
9,0.55,0.64,0.849,0.963
11,0.55,0.64,0.909,0.978
21,0.55,0.64,0.98,0.995
31,0.55,0.64,0.988,0.997
41,0.55,0.64,1.0,1.0
51,0.55,0.64,1.0,1.0
3,0.55,1.28,0.729,0.959
5,0.55,1.28,0.811,0.961
7,0.55,1.28,0.755,0.945
9,0.55,1.28,0.86,0.966
11,0.55,1.28,0.844,0.962
21,0.55,1.28,0.98,0.995
31,0.55,1.28,0.996,0.999
41,0.55,1.28,1.0,1.0
51,0.55,1.28,1.0,1.0
3,0.55,2.56,0.78,0.967
5,0.55,2.56,0.784,0.957
7,0.55,2.56,0.875,0.973
9,0.55,2.56,0.891,0.974
11,0.55,2.56,0.912,0.979
21,0.55,2.56,0.976,0.994
31,0.55,2.56,1.0,1.0
41,0.55,2.56,1.0,1.0
51,0.55,2.56,1.0,1.0
3,0.6,0.02,1.029,1.002
5,0.6,0.02,0.986,0.999
7,0.6,0.02,1.03,1.005
9,0.6,0.02,1.008,1.001
11,0.6,0.02,0.988,0.997
21,0.6,0.02,0.974,0.993
31,0.6,0.02,0.969,0.99
41,0.6,0.02,0.978,0.992
51,0.6,0.02,1.006,1.002
3,0.6,0.04,1.194,1.011
5,0.6,0.04,1.0,1.0
7,0.6,0.04,0.992,0.999
9,0.6,0.04,0.903,0.978
11,0.6,0.04,0.935,0.986
21,0.6,0.04,0.929,0.979
31,0.6,0.04,0.961,0.988
41,0.6,0.04,0.945,0.981
51,0.6,0.04,0.982,0.994
3,0.6,0.08,0.71,0.973
5,0.6,0.08,0.817,0.971
7,0.6,0.08,0.764,0.95
9,0.6,0.08,0.805,0.952
11,0.6,0.08,0.911,0.978
21,0.6,0.08,0.875,0.961
31,0.6,0.08,0.9,0.965
41,0.6,0.08,0.929,0.975
51,0.6,0.08,0.96,0.986
3,0.6,0.16,0.674,0.961
5,0.6,0.16,0.775,0.959
7,0.6,0.16,0.77,0.944
9,0.6,0.16,0.79,0.944
11,0.6,0.16,0.813,0.951
21,0.6,0.16,0.902,0.969
31,0.6,0.16,0.962,0.988
41,0.6,0.16,0.952,0.984
51,0.6,0.16,0.985,0.995
3,0.6,0.32,0.69,0.958
5,0.6,0.32,0.834,0.964
7,0.6,0.32,0.799,0.952
9,0.6,0.32,0.815,0.953
11,0.6,0.32,0.913,0.977
21,0.6,0.32,0.956,0.988
31,0.6,0.32,0.986,0.996
41,0.6,0.32,1.0,1.0
51,0.6,0.32,1.0,1.0
3,0.6,0.64,0.532,0.925
